katedra,zkratka,rok,nazev,semestr,maVyuku,vyukaZS,vyukaLS,jazyk1,jazyk2,jazyk3,jazyk4,nabizetPrijezdyEcts,pocetStudentu,aMax,bMax,cMax,aSkut,bSkut,cSkut
KBI,E103,2023,Plant Physiology,,A,N,A,,AN,,,A,,,,,,,
KBI,E104,2023,General of Parasitology,,A,A,A,,AN,,,A,,,,,,,
KBI,E106,2023,Animal and Human Physiology,,A,A,N,,AN,,,A,,,,,,,
KBI,E107,2023,Ecology,,A,A,A,,AN,,,A,,,,,,,
KBI,E111,2023,Molecular Biology,,A,A,A,,AN,,,A,,,,,,,
KBI,E112,2023,Mycology,,A,N,A,,AN,,,A,,,,,,,
KBI,E119,2023,Design and Rapid Prototyp. of Microsyst.,,A,A,A,,AN,,,A,,,,,,,
KBI,E120,2023,Microscopy Techniques in Biology,,A,A,A,,AN,,,A,,,,,,,
KBI,E121,2023,Labor. Techniq. in Mol. and Cell Biology,,A,A,A,,AN,,,A,,,,,,,
KBI,E122,2023,Microsystems in Biology and Medicine,,A,A,A,,AN,,,A,,,,,,,
KBI,E123,2023,Animal and Plant Models in Biology,,A,A,A,,AN,,,A,,,,,,,
KBI,E124,2023,Genetics,,A,A,A,,AN,,,A,,,,,,,
KBI,E125,2023,Plant Biotechnology,,A,A,N,,AN,,,A,,,,,,,
KBI,E126,2023,Biophysics,,A,N,A,,AN,,,A,,,,,,,
KBI,E127,2023,Behavior,,N,A,A,,AN,,,A,,,,,,,
KBI,E128,2023,Appl. of Meth. of Molecular Genetics,,A,N,A,,AN,,,A,,,,,,,
KBI,E130,2023,Wildlife management,,A,N,A,,AN,,,A,,,,,,,
KBI,E133,2023,Welfare Assessment of zoo animals,,A,A,A,,AN,,,A,,,,,,,
KFY,EA26,2023,Physical Problems and Their Solutions B,,A,N,A,,AN,,,A,,,,,,,
KFY,EA51,2023,Measurements and Proces. of Exper. Data,,A,N,A,,AN,,,A,,,,,,,
KFY,E103,2023,Programming A,,A,A,A,,AN,,,A,,,,,,,
KFY,E130,2023,Programming - Matlab,,A,A,N,,AN,,,A,,,,,,,
KFY,E223,2023,Physical methods of thin film deposition,,A,N,A,,AN,,,A,,,,,,,
KFY,E235,2023,Programming C/C++,,A,A,N,,AN,,,A,,,,,,,
KFY,E293,2023,Ion Analytic Methods,,A,A,A,,AN,,,A,,,,,,,
KFY,E311,2023,Electricity and Magnetism,,A,A,N,,AN,,,A,,,,,,,
KFY,E369,2023,Thermodynamics and Statistical Physics,,A,A,N,,AN,,,A,,,,,,,
KFY,E501,2023,Seminar of Computer Modelling I,,A,A,N,,AN,,,A,,,,,,,
KFY,E511,2023,Atomic and Nuclear Physics,,A,A,N,,AN,,,A,,,,,,,
KFY,E523,2023,Computer Modelling - Particle Modelling,,A,A,N,,AN,,,A,,,,,,,
KFY,E530,2023,An Introduction to Quantum Physics,,A,N,A,,AN,,,A,,,,,,,
KFY,E701,2023,Introduction to Supramolecular chemistry,,A,A,N,,AN,,,A,,,,,,,
KFY,E736,2023,Physical Problems and Their Solutions,,A,N,A,,AN,,,A,,,,,,,
KFY,E737,2023,Quantum Physics,,A,N,A,,AN,,,A,,,,,,,
KFY,E753,2023,Numerical Methods of Hydrodynamics,,A,A,N,,AN,,,A,,,,,,,
KFY,E861,2023,Solid State Physics,,A,A,N,,AN,,,A,,,,,,,
KFY,E864,2023,Modelling of Processes in Technology I,,A,N,A,,AN,,,A,,,,,,,
KFY,E961,2023,Solid State Physics II,,N,A,N,,AN,,,A,,,,,,,
KFY,E963,2023,Modelling of Processes in Technology II,,A,A,N,,AN,,,A,,,,,,,
KGEO,E023,2023,One-day Geographical Excursion A,,A,A,A,,AN,NE,,A,,,,,,,
KGEO,E024,2023,One-day Geographical Excursion B,,A,A,A,,AN,NE,,A,,,,,,,
KGEO,E030,2023,Urban Environmentalistics,,A,A,N,,AN,,,A,,,,,,,
KGEO,E064,2023,One-day Geographic Excursion C,,A,A,N,,AN,NE,,A,,,,,,,
KGEO,E065,2023,One-day Geographical Excursion D,,A,A,A,,AN,NE,,A,,,,,,,
KGEO,E100,2023,Reg. geography of Northwestern Bohemia,,A,A,A,,AN,,,A,,,,,,,
KGEO,E101,2023,Regional geography of the Czech Republic,,A,A,A,,AN,,,A,,,,,,,
KGEO,E202,2023,Geographical Information Systems I,,A,N,A,,AN,,,A,,,,,,,
KGEO,E211,2023,GIS Project,,A,N,A,,AN,,,A,,,,,,,
KGEO,E212,2023,Natural Hazards and Risks,,A,N,A,,AN,,,A,,,,,,,
KGEO,E218,2023,Physische Geographie von Tschechien,,A,N,A,,,NE,,A,,,,,,,
KGEO,E300,2023,Geographical Information Systems II,,A,A,N,,AN,,,A,,,,,,,
KGEO,E301,2023,Cultural Geography,,A,A,A,,AN,,,A,,,,,,,
KGEO,E304,2023,Problems of Development of Czech Regions,,A,A,N,,AN,,,A,,,,,,,
KGEO,E306,2023,Economic geography I,,A,A,N,,AN,,,A,,,,,,,
KGEO,E310,2023,Meth. and Applic. of Historic. Geography,,A,A,N,,AN,,,A,,,,,,,
KGEO,E312,2023,Field Practice in Human Geography,,A,A,N,,AN,,,A,,,,,,,
KGEO,E403,2023,English for Science,,A,N,A,,AN,,,A,,,,,,,
KGEO,E405,2023,Economic geography II,,A,N,A,,AN,,,A,,,,,,,
KGEO,E512,2023,Theories and concepts of rural geography,,A,A,N,,AN,,,A,,,,,,,
KGEO,E513,2023,Selected issues of economic geography,,A,A,N,,AN,,,A,,,,,,,
KGEO,0065,2023,One-day Geographical Excursion D,,A,N,A,CZ,,NE,,A,,,,,,,
KCH,E100,2023,General Chemistry,,A,A,A,,AN,,,A,,,,,,,
KCH,E101,2023,Intr. to Inorganic and Organic Chemistry,,A,A,A,,AN,,,A,,,,,,,
KCH,E103,2023,Applied Thermodynamics: Phave behaviour,,A,A,A,,AN,,,A,,,,,,,
