lang;fakulta;katedra;zkratka;rok;nazev;kreditu;vyukaZS;vyukaLS;vyucovaciJazyky;jazykyZkr;skupinaAkreditaceZkr;skupinaAkreditace;urovenVypoctena;ectsNabizetUPrijezdu;ectsZobrazit
en;FSI;KSM;P080;2014;CAD;3;A;A;English;EN;5.0;5.0;;A;A
en;FSI;KSM;P080;2016;CAD;3;A;A;English;EN;5.0;5.0;;A;A
en;FSI;KSM;P080;2017;CAD;3;A;A;English;EN;5.0;5.0;;A;A
en;FSI;KSM;P080;2015;CAD;3;A;A;English;EN;5.0;5.0;;A;A
en;FSI;KSM;P083;2014;Design of Machine Parts;5;N;A;English;EN;5.0;5.0;;A;A
en;FSI;KSM;P083;2016;Design of Machine Parts;5;N;A;English;EN;5.0;5.0;;A;A
en;FSI;KSM;P083;2015;Design of Machine Parts;5;N;A;English;EN;5.0;5.0;;A;A
en;FSI;KSM;P084;2014;Experiments;3;N;A;English;EN;5.0;5.0;;A;A
en;FSI;KSM;P084;2016;Experiments;3;N;A;English;EN;5.0;5.0;;A;A
en;FSI;KSM;P084;2015;Experiments;3;N;A;English;EN;5.0;5.0;;A;A
en;FSI;KSM;P086;2014;Applied Mechanics;3;N;A;English;EN;5.0;5.0;;A;A
en;FSI;KSM;P086;2016;Applied Mechanics;3;N;A;English;EN;5.0;5.0;;A;A
en;FSI;KSM;P086;2015;Applied Mechanics;3;N;A;English;EN;5.0;5.0;;A;A
en;FSI;KSM;P087;2014;Technical Acoustics;3;N;A;English;EN;5.0;5.0;;A;A
en;FSI;KSM;P087;2016;Technical Acoustics;3;N;A;English;EN;5.0;5.0;;A;A
en;FSI;KSM;P087;2015;Technical Acoustics;3;N;A;English;EN;5.0;5.0;;A;A
en;FSI;KSM;P091;2014;Selected Chapters of Mechanics;5;A;A;;;;;;A;A
en;FSI;KSM;P091;2016;Selected Chapters of Mechanics;5;A;A;English;EN;;;;A;A
en;FSI;KSM;P091;2017;Selected Chapters of Mechanics;5;A;A;English;EN;;;;A;A
en;FSI;KSM;P091;2015;Selected Chapters of Mechanics;5;A;A;;;;;;A;A
en;FSI;KSM;P098;2017;Technical English;3;A;A;English;EN;;;;A;A
en;FSI;KSM;P107;2017;Quality Control;4;A;A;English;EN;;;;A;A
en;FSI;KSM;P108;2016;Selected Chapters of Mechanics;5;A;A;English;EN;;;;A;A
en;FSI;KSM;P108;2015;Selected Chapters of Mechanics;5;A;A;English;EN;;;;A;A
en;FSI;KSM;P113;2017;Technical Drawing;3;A;A;English;EN;;;Bc.;A;A
en;FSI;KMEP;P082;2014;General Economics;3;A;A;English;EN;5.0;5.0;;A;A
en;FSI;KMEP;P082;2016;General Economics;3;N;N;English;EN;5.0;5.0;;A;A
en;FSI;KMEP;P082;2015;General Economics;3;A;A;English;EN;5.0;5.0;;A;A
en;FSI;KMEP;P092;2014;Bussines English;3;A;A;;;;;;A;A
en;FSI;KMEP;P092;2016;Bussines English;3;A;A;English;EN;;;;A;A
en;FSI;KMEP;P092;2015;Bussines English;3;A;A;;;;;;A;A
en;FSI;KMEP;P093;2014;Transportation and Environment in the Czech Republic;2;A;A;English;EN;;;Bc.;A;N
en;FSI;KMEP;P093;2016;Transportation and Environment in the Czech Republic;2;N;N;English;EN;;;Bc.;A;N
en;FSI;KMEP;P093;2015;Transportation and Environment in the Czech Republic;2;A;A;English;EN;;;Bc.;A;N
en;FSI;KMEP;P098;2016;Technical English;3;A;A;English;EN;;;;A;A
en;FSI;KMEP;P098;2014;Technical English;3;A;A;English;EN;;;;A;A
en;FSI;KMEP;P098;2015;Technical English;3;A;A;English;EN;;;;A;A
en;FSI;KMEP;P099;2016;Marketing;4;A;N;English;EN;5.0;5.0;Bc.;A;A
en;FSI;KMEP;P099;2014;Marketing;4;A;A;English;EN;5.0;5.0;Bc.;A;A
en;FSI;KMEP;P099;2015;Marketing;4;A;A;English;EN;5.0;5.0;Bc.;A;A
en;FSI;KMEP;P106;2015;Logistics;2;A;A;English;EN;;;;A;A
en;FSI;KMEP;P106;2016;Logistics;2;N;N;English;EN;;;;A;A
en;FSI;KMEP;P107;2015;Quality Control;4;A;A;English;EN;;;;A;A
en;FSI;KMEP;P107;2016;Quality Control;4;A;A;English;EN;;;;A;A
en;FSI;KTMI;P081;2014;CAM;3;A;A;English;EN;5.0;5.0;;A;A
en;FSI;KTMI;P081;2016;CAM;3;A;N;English;EN;5.0;5.0;;A;A
en;FSI;KTMI;P081;2015;CAM;3;A;A;English;EN;5.0;5.0;;A;A
en;FSI;KTMI;P085;2014;Machining;3;N;A;English;EN;5.0;5.0;;A;A
en;FSI;KTMI;P085;2016;Machining;3;N;A;English;EN;5.0;5.0;;A;A
en;FSI;KTMI;P085;2015;Machining;3;N;A;English;EN;5.0;5.0;;A;A
en;FSI;KTMI;P088;2014;Wood and Plastics;3;A;A;English;EN;5.0;5.0;;A;A
en;FSI;KTMI;P088;2016;Wood and Plastics;3;N;N;English;EN;5.0;5.0;;A;A
en;FSI;KTMI;P088;2015;Wood and Plastics;3;A;A;English;EN;5.0;5.0;;A;A
en;FSI;KTMI;P089;2014;Applied Physics;3;A;A;English;EN;;;;A;A
en;FSI;KTMI;P089;2016;Applied Physics;3;A;A;English;EN;;;;A;A
en;FSI;KTMI;P089;2017;Applied Physics;3;A;A;English;EN;;;;A;A
en;FSI;KTMI;P089;2015;Applied Physics;3;A;A;English;EN;;;;A;A
en;FSI;KTMI;P090;2014;Manufacturing Technology;5;A;A;English;EN;;;;A;A
en;FSI;KTMI;P090;2016;Manufacturing Technology;5;A;A;English;EN;;;;A;A
en;FSI;KTMI;P090;2017;Manufacturing Technology;5;A;A;English;EN;;;;A;A
en;FSI;KTMI;P090;2015;Manufacturing Technology;5;A;A;English;EN;;;;A;A
en;FSI;KTMI;P095;2016;Non-cutting Technologies;5;A;A;English;EN;5.0;5.0;;A;A
en;FSI;KTMI;P095;2017;Non-cutting Technologies;5;A;A;English;EN;5.0;5.0;;A;A
en;FSI;KTMI;P095;2014;Non-cutting Technologies;5;A;A;English;EN;5.0;5.0;;A;A
en;FSI;KTMI;P095;2015;Non-cutting Technologies;5;A;A;English;EN;5.0;5.0;;A;A
en;FSI;KTMI;P096;2016;Practical Metallography;3;A;A;English;EN;5.0;5.0;;A;A
en;FSI;KTMI;P096;2014;Practical Metallography;3;A;A;English;EN;5.0;5.0;;A;A
en;FSI;KTMI;P096;2015;Practical Metallography;3;A;A;English;EN;5.0;5.0;;A;A
en;FSI;KTMI;P097;2016;Corrosion and Protection of Material;4;A;A;English;EN;5.0;5.0;;A;A
en;FSI;KTMI;P097;2017;Corrosion and Protection of Material;4;A;A;English;EN;5.0;5.0;;A;A
en;FSI;KTMI;P097;2014;Corrosion and Protection of Material;4;A;A;English;EN;5.0;5.0;;A;A
en;FSI;KTMI;P097;2015;Corrosion and Protection of Material;4;A;A;English;EN;5.0;5.0;;A;A
en;FSI;KTMI;P101;2016;Degradation of Materials;5;A;A;English;EN;;;Bc.;A;A
en;FSI;KTMI;P101;2017;Degradation of Materials;5;N;A;English;EN;;;Bc.;A;A
en;FSI;KTMI;P101;2014;Degradation of Materials;5;A;A;English;EN;;;Bc.;A;A
en;FSI;KTMI;P101;2015;Degradation of Materials;5;A;N;English;EN;;;Bc.;A;A
en;FSI;KTMI;P102;2016;Materials science I;5;N;A;English;EN;;;Bc.;A;A
en;FSI;KTMI;P102;2014;Materials science I;5;N;A;English;EN;;;Bc.;A;A
en;FSI;KTMI;P102;2015;Materials science I;5;N;A;English;EN;;;Bc.;A;A
en;FSI;KTMI;P103;2014;Jigs and Fixtures;4;A;A;English;EN;;;Bc.;A;A
en;FSI;KTMI;P103;2016;Jigs and Fixtures;4;N;N;English;EN;;;Bc.;A;A
en;FSI;KTMI;P103;2015;Jigs and Fixtures;4;A;A;English;EN;;;Bc.;A;A
en;FSI;KTMI;P109;2016;Heat Treatment;4;A;A;English;EN;;;Bc.;A;A
en;FSI;KTMI;P110;2016;Welding Technology;7;A;A;English;EN;;;Bc.;A;A
en;FSI;KTMI;P110;2015;Welding Technology;7;A;A;English;EN;;;Bc.;A;A
en;FSI;KTMI;P111;2016;CNC Programing;3;A;A;English;EN;;;Bc.;A;A
en;FSI;KTMI;P111;2017;CNC Programing;3;A;A;English;EN;;;Bc.;A;A
en;FSI;KTMI;P112;2015;Material Science II;7;A;A;English;EN;;;Bc.;A;A
en;FSI;KTMI;P114;2017;CNC Programing;5;A;A;English;EN;;;Bc.;A;A
en;FSI;KEE;P094;2015;Technical Computing Matlab;4;A;A;English;EN;;;;A;A
en;FSI;KEE;P094;2014;Technical Computing Matlab;4;A;A;English;EN;;;;A;A
en;FSI;KEE;P094;2016;Technical Computing Matlab;4;A;A;English;EN;;;;A;A
en;FSI;KEE;P094;2017;Technical Computing Matlab;4;A;A;English;EN;;;;A;A
en;FSI;KEE;P104;2015;Model of Energy Flows;4;A;A;English;EN;;;Bc.;A;A
en;FSI;KEE;P104;2016;Model of Energy Flows;4;N;A;English;EN;;;Bc.;A;A
en;FSI;KEE;P104;2017;Model of Energy Flows;4;A;A;English;EN;;;Bc.;A;A
en;FSI;KEE;P105;2015;Electrical Experiments;3;A;N;English;EN;;;;A;A
en;FSI;KEE;P105;2016;Electrical Experiments;3;A;A;English;EN;;;;A;A
en;FSI;KEE;P105;2017;Electrical Experiments;3;A;A;English;EN;;;;A;A
en;FSI;KEE;P112;2016;Power-Supply system for transport;5;A;A;English;EN;;;;A;A
en;FSI;UTM;EA089;2023;Applied Physics;3;A;A;English;EN;;;;A;A
en;FSI;UTM;EA089;2024;Applied Physics;3;A;A;English;EN;;;;A;A
en;FSI;UTM;EA090;2023;Manufacturing Technology;5;N;A;English;EN;;;;A;A
en;FSI;UTM;EA090;2024;Manufacturing Technology;5;N;A;English;EN;;;;A;A
en;FSI;UTM;EA095;2023;Non-cutting Technologies;5;A;N;English;EN;5.0;5.0;;A;A
en;FSI;UTM;EA095;2024;Non-cutting Technologies;5;A;N;English;EN;5.0;5.0;;A;A
en;FSI;UTM;EA097;2023;Corrosion and Protection of Material;4;A;N;English;EN;5.0;5.0;;A;A
en;FSI;UTM;EA097;2024;Corrosion and Protection of Material;4;A;N;English;EN;5.0;5.0;;A;A
en;FSI;UTM;EA101;2023;Degradation of Materials;5;N;A;English;EN;;;Bc.;A;A
en;FSI;UTM;EA101;2024;Degradation of Materials;5;N;A;English;EN;;;Bc.;A;A
en;FSI;UTM;EA111;2023;CNC Programing;3;A;A;English;EN;;;Bc.;A;A
en;FSI;UTM;EA111;2024;CNC Programing;3;A;A;English;EN;;;Bc.;A;A
en;FSI;UTM;EA114;2023;The Physics of Metals;5;A;A;English;EN;;;Bc.;A;A
en;FSI;UTM;EA114;2024;The Physics of Metals;5;A;A;English;EN;;;Bc.;A;A
en;FSI;UTM;EA120;2023;Fundamentals of Fractography;4;A;A;English;EN;;;Mgr.;A;A
en;FSI;UTM;EA120;2024;Fundamentals of Fractography;4;A;A;English;EN;;;Mgr.;A;A
en;FSI;UTM;EA121;2023;Materials in Energetics;5;N;A;English;EN;;;;A;A
en;FSI;UTM;EA121;2024;Materials in Energetics;5;N;A;English;EN;;;;A;A
en;FSI;UTM;EA122;2023;Jigs and Fixtures;5;A;A;English;EN;;;;A;A
en;FSI;UTM;EA122;2024;Jigs and Fixtures;5;A;A;English;EN;;;;A;A
en;FSI;UTM;EA126;2023;Machining Tools;5;A;A;English;EN;;;;A;A
en;FSI;UTM;EA126;2024;Machining Tools;5;A;A;English;EN;;;;A;A
en;FSI;UTM;EA127;2023;Project Management;3;A;A;English;EN;;;;A;A
en;FSI;UTM;EA127;2024;Project Management;3;A;A;English;EN;;;;A;A
en;FSI;UTM;EA128;2023;Engineering Technology;3;A;A;English;EN;;;;A;A
en;FSI;UTM;EA128;2024;Engineering Technology;3;A;A;English;EN;;;;A;A
en;FSI;UTM;EA132;2023;Welding;5;N;A;English;EN;;;Bc.;A;A
en;FSI;UTM;EA132;2024;Welding;5;N;A;English;EN;;;Bc.;A;A
en;FSI;UTM;EAP01;2023;Thesis study;25;A;A;English;EN;;;Bc.;A;A
en;FSI;UTM;EAP01;2024;Thesis study;25;A;A;English;EN;;;Bc.;A;A
en;FSI;UTM;P089;2022;Applied Physics;3;A;A;English;EN;;;;A;A
en;FSI;UTM;P089;2021;Applied Physics;3;A;A;English;EN;;;;A;A
